image,type,subtype,concatenated_type,set
100177400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100199800.png,Rost,Strassenrost,Rost / Strassenrost,train
100108700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100125600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100144300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100118400.png,Rost,Strassenrost,Rost / Strassenrost,train
100095100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100158200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100063300.png,Rost,Strassenrost,Rost / Strassenrost,train
100065100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100120900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100008400.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100214900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100085700.png,Andere,-,Andere / -,train
100061500.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100043600.png,Rost,Strassenrost,Rost / Strassenrost,train
100160000.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100109600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100161600.png,Rost,Strassenrost,Rost / Strassenrost,train
100137200.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100021700.png,Andere,-,Andere / -,train
100090300.png,Rost,Strassenrost,Rost / Strassenrost,train
100073500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100154100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100098900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,test
100179500.png,Rost,Strassenrost,Rost / Strassenrost,test
100154800.png,Rost,Strassenrost,Rost / Strassenrost,train
100196900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100052500.png,Rost,Strassenrost,Rost / Strassenrost,test
100089000.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100059700.png,Vollguss,Aufklappbar,Vollguss / Aufklappbar,train
100019900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100157300.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100036900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100214600.png,Rost,Strassenrost,Rost / Strassenrost,val
100097900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100132500.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100004100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100037400.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,test
100087900.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",test
100012200.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100212900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100177000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100176600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100026100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",val
100171900.png,Andere,-,Andere / -,train
100108500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100198200.png,Rost,Strassenrost,Rost / Strassenrost,test
100163000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100024500.png,Rost,Strassenrost,Rost / Strassenrost,train
100129800.png,Rost,Strassenrost,Rost / Strassenrost,test
100045900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100084000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100167300.png,Rost,Strassenrost,Rost / Strassenrost,train
100021600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100141300.png,Rost,Strassenrost,Rost / Strassenrost,train
100011400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100087800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100195400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100072800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100028300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100126500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100003300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100096200.png,Rost,Strassenrost,Rost / Strassenrost,train
100001100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100060300.png,Rost,Strassenrost,Rost / Strassenrost,train
100087700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100033300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100217400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100211100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100213500.png,Rost,Strassenrost,Rost / Strassenrost,train
100213400.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100081100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100058800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100137700.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100045600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100077000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100041900.png,Rost,Strassenrost,Rost / Strassenrost,test
100117900.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100203100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100172800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100071400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100212100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100103000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100078400.png,Rost,Strassenrost,Rost / Strassenrost,train
100069600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100170500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100122400.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100025700.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100022300.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100108800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,test
100033600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100143200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100067000.png,Rost,Einlauf rund,Rost / Einlauf rund,test
100072200.png,Rost,Strassenrost,Rost / Strassenrost,train
100079400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100067500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100055100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100133500.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100102100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100199200.png,Rost,Strassenrost,Rost / Strassenrost,train
100079500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100116400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100200200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100012000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100003700.png,Rost,Strassenrost,Rost / Strassenrost,train
100162800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100066400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100163100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100055200.png,Rost,Strassenrost,Rost / Strassenrost,train
100139200.png,Rost,Strassenrost,Rost / Strassenrost,train
100010300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100082700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100128700.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100130600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100158800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100182000.png,Rost,Strassenrost,Rost / Strassenrost,train
100091000.png,Rost,Strassenrost,Rost / Strassenrost,train
100158700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100187200.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100003900.png,Rost,Strassenrost,Rost / Strassenrost,test
100097800.png,Rost,Strassenrost,Rost / Strassenrost,train
100009800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100173500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100078900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100080300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100134300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100188000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100066700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100000500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100100200.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100203400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100152200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100043900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100081900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100201000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100098400.png,Andere,-,Andere / -,train
100109800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100166600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100211500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100001700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100134200.png,Rost,Strassenrost,Rost / Strassenrost,train
100118200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100142800.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100078700.png,Rost,Strassenrost,Rost / Strassenrost,train
100018100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100187100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100029700.png,Rost,Strassenrost,Rost / Strassenrost,train
100093300.png,Rost,Strassenrost,Rost / Strassenrost,val
100094400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100052100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100141600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100111000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100064900.png,Rost,Strassenrost,Rost / Strassenrost,train
100021300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100088700.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,test
100044600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100171500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100062900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100076800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100168100.png,Rost,Strassenrost,Rost / Strassenrost,train
100022200.png,Andere,-,Andere / -,train
100152500.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100041800.png,Andere,-,Andere / -,train
100055700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100214300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100164600.png,Rost,Strassenrost,Rost / Strassenrost,train
100089700.png,Rost,Strassenrost,Rost / Strassenrost,train
100116100.png,Rost,Strassenrost,Rost / Strassenrost,train
100166700.png,Rost,Strassenrost,Rost / Strassenrost,val
100138700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100144400.png,Rost,Strassenrost,Rost / Strassenrost,test
100164500.png,Rost,Strassenrost,Rost / Strassenrost,train
100052400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100054100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100145600.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100054900.png,Rost,Strassenrost,Rost / Strassenrost,train
100031000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100002100.png,Rost,Strassenrost,Rost / Strassenrost,test
100009000.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100136100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100090200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100152100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100186400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100183100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",val
100118700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100130000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100106200.png,Rost,Strassenrost,Rost / Strassenrost,test
100074600.png,Rost,Strassenrost,Rost / Strassenrost,test
100161400.png,Andere,-,Andere / -,train
100030300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100046700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100122200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100044500.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100211300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100034400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100072900.png,Rost,Strassenrost,Rost / Strassenrost,train
100079700.png,Rost,Strassenrost,Rost / Strassenrost,train
100056100.png,Rost,Strassenrost,Rost / Strassenrost,train
100180500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100096700.png,Rost,Strassenrost,Rost / Strassenrost,test
100064600.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100074000.png,Rost,Strassenrost,Rost / Strassenrost,val
100088100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100101200.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100006600.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100103700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100122400.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100121500.png,Rost,Strassenrost,Rost / Strassenrost,train
100191000.png,Rost,Strassenrost,Rost / Strassenrost,train
100112900.png,Rost,Einlauf rund,Rost / Einlauf rund,val
100218000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100197300.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100098000.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100041000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100171200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100069400.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100108200.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100115200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100008200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100159500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100003500.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100040800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100060800.png,Andere,-,Andere / -,train
100163900.png,Rost,Strassenrost,Rost / Strassenrost,train
100125400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100095600.png,Rost,Strassenrost,Rost / Strassenrost,val
100026900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100053100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100186600.png,Rost,Strassenrost,Rost / Strassenrost,train
100134100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100013400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100074900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100009100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100043500.png,Rost,Strassenrost,Rost / Strassenrost,train
100032400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100080100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100037700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100175900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100143800.png,Rost,Strassenrost,Rost / Strassenrost,train
100205200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100138900.png,Rost,Strassenrost,Rost / Strassenrost,val
100121700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100154400.png,Rost,Strassenrost,Rost / Strassenrost,train
100159600.png,Andere,-,Andere / -,train
100055500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100183300.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100007800.png,Rost,Strassenrost,Rost / Strassenrost,train
100005600.png,Andere,-,Andere / -,test
100101200.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,val
100214000.png,Rost,Strassenrost,Rost / Strassenrost,train
100096800.png,Rost,Strassenrost,Rost / Strassenrost,train
100048300.png,Rost,Strassenrost,Rost / Strassenrost,val
100084600.png,Rost,Strassenrost,Rost / Strassenrost,train
100102200.png,Rost,Strassenrost,Rost / Strassenrost,train
100154500.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100002500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100143100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100068900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100103200.png,Andere,-,Andere / -,val
100045800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100129100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100206600.png,Andere,-,Andere / -,train
100108100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100068300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100168000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100038800.png,Rost,Strassenrost,Rost / Strassenrost,train
100202700.png,Rost,Strassenrost,Rost / Strassenrost,train
100073900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100121800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100002300.png,Rost,Strassenrost,Rost / Strassenrost,train
100135700.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100045700.png,Rost,Strassenrost,Rost / Strassenrost,train
100105700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100038600.png,Rost,Strassenrost,Rost / Strassenrost,test
100091900.png,Andere,-,Andere / -,val
100117300.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100084900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100109900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100007000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100003200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100142400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100023300.png,Rost,Strassenrost,Rost / Strassenrost,train
100021100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100087100.png,Rost,Strassenrost,Rost / Strassenrost,train
100067700.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,test
100028900.png,Rost,Strassenrost,Rost / Strassenrost,val
100160600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100044400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100072500.png,Rost,Strassenrost,Rost / Strassenrost,train
100142100.png,Rost,Strassenrost,Rost / Strassenrost,train
100073400.png,Rost,Strassenrost,Rost / Strassenrost,train
100071200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100109400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100181300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100091100.png,Rost,Strassenrost,Rost / Strassenrost,train
100034600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100179200.png,Rost,Strassenrost,Rost / Strassenrost,train
100198500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100064800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100202100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100111600.png,Rost,Strassenrost,Rost / Strassenrost,train
100112500.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100125700.png,Rost,Strassenrost,Rost / Strassenrost,train
100115900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100007100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100015200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100032700.png,Rost,Strassenrost,Rost / Strassenrost,test
100171900.png,Andere,-,Andere / -,test
100048800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100087600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100159000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100068100.png,Rost,Strassenrost,Rost / Strassenrost,train
100097000.png,Rost,Strassenrost,Rost / Strassenrost,train
100007200.png,Rost,Einlauf rund,Rost / Einlauf rund,test
100114200.png,Rost,Strassenrost,Rost / Strassenrost,test
100211900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100168400.png,Rost,Strassenrost,Rost / Strassenrost,train
100178300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100179100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100181400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100176800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100179400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100041500.png,Andere,-,Andere / -,train
100184600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100209500.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100050700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100068600.png,Rost,Strassenrost,Rost / Strassenrost,train
100092100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100081700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100025200.png,Rost,Strassenrost,Rost / Strassenrost,train
100105800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100069700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100023900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100197100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100093000.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,test
100163800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100211200.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,val
100018600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100025900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100143100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100180400.png,Rost,Strassenrost,Rost / Strassenrost,train
100045000.png,Rost,Strassenrost,Rost / Strassenrost,val
100153700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100097600.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100191700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100078100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100085000.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100049400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100063500.png,Rost,Strassenrost,Rost / Strassenrost,train
100011100.png,Andere,-,Andere / -,train
100151100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100106400.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100155300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100055400.png,Rost,Strassenrost,Rost / Strassenrost,train
100198700.png,Andere,-,Andere / -,train
100005400.png,Andere,-,Andere / -,train
100169300.png,Rost,Strassenrost,Rost / Strassenrost,test
100200800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
